source,target,mode_of_regulation,weight
ADA2,ZC3HC1,1,1
ADA2,ZCCHC2,1,1
ADA2,ZDHHC6,1,1
ADA2,ZER1,1,1
ADA2,ZFHX3,1,1
ADA2,ZFHX4,1,1
ADA2,ZFHX4-AS1,1,1
ADA2,ZFP62,1,1
ADA2,ZMPSTE24,1,1
ADA2,ZMPSTE24-DT,1,1
ADA2,ZMYM3,1,1
ADA2,ZNF165,1,1
ADA2,ZNF195,1,1
ADA2,ZNF205,1,1
ADA2,ZNF213-AS1,1,1
ADA2,ZNF276,1,1
ADA2,ZNF302,1,1
ADA2,ZNF384,1,1
ADA2,ZNF391,1,1
ADA2,ZNF396,1,1
ADA2,ZNF408,1,1
ADA2,ZNF410,1,1
ADA2,ZNF461,1,1
ADA2,ZNF462,1,1
ADA2,ZNF490,1,1
ADA2,ZNF517,1,1
ADA2,ZNF549,1,1
